FS_method,Classifier,Accuracy,Precision,Recall,F1_score,AUC,Best_params,Outer_Fold,Top_k
RFE_SVM,SVM (RBF),0.6360708534621579,0.6358433069467281,0.6360708534621579,0.6359306883871911,0.9027855790634296,"{'pca__n_components': 0.95, 'clf__gamma': 'scale', 'clf__C': 1}",1,30
RFE_SVM,Logistic Regression,0.5797101449275363,0.5807850965697466,0.5797101449275363,0.5799937994770749,0.6678108552289418,{'clf__C': 0.01},1,30
RFE_SVM,XGBoost,0.8099838969404187,0.811627865335926,0.8099838969404187,0.8091341181804016,1.0,"{'subsample': 1.0, 'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",1,30
RFE_SVM,LightGBM,0.8051529790660226,0.8072090548745354,0.8051529790660226,0.804139791920252,1.0,"{'num_leaves': 127, 'n_estimators': 500, 'max_depth': -1, 'learning_rate': 0.03}",1,30
RFE_SVM,Stacking Ensemble,0.8035426731078905,0.8186725463613336,0.8035426731078905,0.7995780336068965,0.9992302731490149,"{'final_estimator__n_estimators': 100, 'final_estimator__max_depth': 3, 'final_estimator__learning_rate': 0.05}",1,30
RFE_SVM,Soft Voting Ensemble,0.8051529790660226,0.8072090548745354,0.8051529790660226,0.804139791920252,1.0,"{'weights': (1, 1)}",1,30
RFE_SVM,Random Forest,0.8054298642533937,0.8138393627289688,0.8054298642533937,0.8043930650253622,1.0,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",1,50
RFE_SVM,SVM (RBF),0.6802413273001509,0.6805384195931002,0.6802413273001509,0.6798872057184077,1.0,"{'pca__n_components': 0.9, 'clf__gamma': 'scale', 'clf__C': 50}",1,50
RFE_SVM,Logistic Regression,0.5927601809954751,0.5929476335352265,0.5927601809954751,0.592767592632701,0.7380406290956749,{'clf__C': 100},1,50
RFE_SVM,XGBoost,0.8024132730015083,0.8040602547236638,0.8024132730015083,0.8022684690966405,1.0,"{'subsample': 1.0, 'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",1,50
RFE_SVM,LightGBM,0.8220211161387632,0.8238903714016835,0.8220211161387632,0.8218752796229805,1.0,"{'num_leaves': 63, 'n_estimators': 800, 'max_depth': -1, 'learning_rate': 0.05}",1,50
RFE_SVM,Stacking Ensemble,0.7903469079939668,0.8010116748018505,0.7903469079939668,0.7888246537327118,0.9958497160332023,"{'final_estimator__n_estimators': 200, 'final_estimator__max_depth': 2, 'final_estimator__learning_rate': 0.03}",1,50
RFE_SVM,Soft Voting Ensemble,0.8144796380090498,0.814566788253763,0.8144796380090498,0.8144323407960309,0.9999908985000727,"{'weights': (1, 1)}",1,50
RFE_SVM,Random Forest,0.8035714285714286,0.8095308988009422,0.8035714285714286,0.8030730690707892,1.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}",1,70
RFE_SVM,XGBoost,0.8214285714285714,0.8228536593089906,0.8214285714285714,0.8214127539496245,1.0,"{'subsample': 0.7, 'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.03, 'colsample_bytree': 0.7}",1,70
RFE_SVM,LightGBM,0.8139880952380952,0.8161018668831168,0.8139880952380952,0.8139160031891217,1.0,"{'num_leaves': 127, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.03}",1,70
RFE_SVM,Random Forest,0.8088888888888889,0.8137351229950306,0.8088888888888889,0.8085942266764184,1.0,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",1,90
RFE_SVM,SVM (RBF),0.6948148148148148,0.6947231040564373,0.6948148148148148,0.6945489319511178,1.0,"{'pca__n_components': 0.85, 'clf__gamma': 'scale', 'clf__C': 10}",1,90
RFE_SVM,Logistic Regression,0.5792592592592593,0.5801832820963256,0.5792592592592593,0.5793091258135507,0.7901683714717563,{'clf__C': 0.01},1,90
RFE_SVM,XGBoost,0.8266666666666667,0.8291947832514918,0.8266666666666667,0.8266050321671506,1.0,"{'subsample': 0.7, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",1,90
RFE_SVM,LightGBM,0.8237037037037037,0.8286955394037998,0.8237037037037037,0.8234318835232077,1.0,"{'num_leaves': 127, 'n_estimators': 800, 'max_depth': 10, 'learning_rate': 0.03}",1,90
RFE_SVM,Soft Voting Ensemble,0.8177777777777778,0.8180320883160366,0.8177777777777778,0.8178169886707551,1.0,"{'weights': (1, 1)}",1,90
mRMR,Random Forest,0.7960725075528701,0.8019702993255345,0.7960725075528701,0.7952953074958184,1.0,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",1,10
mRMR,SVM (RBF),0.5981873111782477,0.5991710506281651,0.5981873111782477,0.596250837821126,0.7905244420101328,"{'pca__n_components': 0.85, 'clf__gamma': 'scale', 'clf__C': 1}",1,10
mRMR,Logistic Regression,0.45317220543806647,0.4534052418026085,0.45317220543806647,0.45278772026583636,0.5556164133461136,{'clf__C': 1},1,10
mRMR,XGBoost,0.7945619335347432,0.8001790452975199,0.7945619335347432,0.7938171906882696,0.9903053539641243,"{'subsample': 0.8, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",1,10
mRMR,LightGBM,0.7764350453172205,0.7786533721553468,0.7764350453172205,0.7761491070044371,1.0,"{'num_leaves': 127, 'n_estimators': 500, 'max_depth': 5, 'learning_rate': 0.05}",1,10
mRMR,Stacking Ensemble,0.7658610271903323,0.7658720029545213,0.7658610271903323,0.7658647674721925,0.9790770916061892,"{'final_estimator__n_estimators': 200, 'final_estimator__max_depth': 2, 'final_estimator__learning_rate': 0.03}",1,10
mRMR,Soft Voting Ensemble,0.7885196374622356,0.7908124777280944,0.7885196374622356,0.7882491552744675,1.0,"{'weights': (2, 1)}",1,10
mRMR,Random Forest,0.8189233278955954,0.8307888696501634,0.8189233278955954,0.8156724590011678,1.0,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",1,30
mRMR,SVM (RBF),0.5905383360522023,0.5910103993908284,0.5905383360522023,0.5907351542460656,0.9913923996492804,"{'pca__n_components': 0.95, 'clf__gamma': 0.01, 'clf__C': 50}",1,30
mRMR,Logistic Regression,0.5040783034257749,0.504948285828878,0.5040783034257749,0.5044277304779142,0.6073116485960524,{'clf__C': 100},1,30
mRMR,XGBoost,0.8107667210440457,0.8140956474788767,0.8107667210440457,0.8092294131717714,1.0,"{'subsample': 1.0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.7}",1,30
