FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
RF_importance,Random Forest,50,0.8013072558372762,0.012039698893355039,0.8058705540787616,0.823299729988479,0.8058705540787616,1.0
RFE_SVM,XGBoost,50,0.8005355900741203,0.01604696827007212,0.8012479572735051,0.8036236793308283,0.8012479572735051,0.9997425838404431
ReliefF,LightGBM,50,0.8005173541639801,0.016740873084289884,0.8011981025474926,0.8037032808390824,0.8011981025474926,1.0
mRMR,Soft Voting Ensemble,90,0.800193514728635,0.012031946661756035,0.803065852153435,0.8140352873992159,0.803065852153435,1.0
LASSO,Random Forest,70,0.7995658463019386,0.007144469619322514,0.801468315856594,0.8078794701046376,0.801468315856594,1.0
mRMR,XGBoost,30,0.7993225603592427,0.018293886022129554,0.8008195841188616,0.8065626269954693,0.8008195841188616,0.9986126141124892
LASSO,LightGBM,50,0.7992599204998623,0.044472014668771306,0.8000104650181981,0.8012653636652237,0.8000104650181981,1.0
mRMR,XGBoost,50,0.7990590581207968,0.014912432085188897,0.8005288874799267,0.8038156139265649,0.8005288874799267,0.9999963594000291
Boruta,Stacking Ensemble,90,0.798926448049221,0.0070827853527558465,0.802085412609051,0.8155243525496636,0.802085412609051,0.9987796208905363
mRMR,Soft Voting Ensemble,70,0.7985102430290248,0.019255469283393438,0.8023378289788387,0.8159580840599041,0.8023378289788387,1.0
ReliefF,Stacking Ensemble,70,0.7978063977001207,0.018443203470199617,0.7987466655375366,0.8035818592312134,0.7987466655375366,0.9962179773825053
mRMR,Random Forest,70,0.7975244563983521,0.02435508460640062,0.8023311559217997,0.8207922445392598,0.8023311559217997,1.0
mRMR,Soft Voting Ensemble,50,0.7971275976079805,0.013915587073165994,0.8001200574440848,0.8100655140986329,0.8001200574440848,0.9999965793020408
LASSO,XGBoost,50,0.7970832073438405,0.032276524954232194,0.7979802986983721,0.7997267885886074,0.7979802986983721,1.0
LASSO,LightGBM,70,0.7969437294902812,0.016934672068726807,0.7976531559953396,0.7991580584627446,0.7976531559953396,1.0
LASSO,Stacking Ensemble,70,0.7968492212435653,0.00030235419150639767,0.7989028213166145,0.8061381547355566,0.7989028213166145,0.991780854545081
ReliefF,XGBoost,30,0.7963878002135297,0.008610936451368845,0.7968552930818315,0.7992711373645554,0.7968552930818315,0.9992718800058249
ReliefF,LightGBM,30,0.796107580141698,0.011576978710458796,0.7961837998124874,0.7973904353613682,0.7961837998124874,1.0
RF_importance,LightGBM,50,0.7958574446148284,0.015345174461827529,0.7973589272280849,0.8007107311744761,0.7973589272280849,1.0
RF_importance,Stacking Ensemble,50,0.7954848573125174,0.004428739068223869,0.7974874754159659,0.802676885176672,0.7974874754159659,0.9992727758823626
mRMR,LightGBM,90,0.79543989235732,0.01371430970192946,0.7971905765149448,0.802348769143643,0.7971905765149448,1.0
ReliefF,Stacking Ensemble,30,0.7953556233630358,0.014109175244949054,0.7957571484229229,0.7993552510251206,0.7957571484229229,0.9959925013001433
RFE_SVM,LightGBM,10,0.7952367056417357,0.0036031582550585233,0.795291735811329,0.7952831314399447,0.795291735811329,1.0
