Outer_Fold,FS_method,Top_k,Classifier,Inner_F1,Test_F1,Test_Accuracy,Test_AUC
2,LASSO,30,Logistic Regression,0.4712309828507066,0.5306928472009348,0.5270758122743683,0.4782400139542997
2,LASSO,30,XGBoost,0.745394093591223,0.7921173183218094,0.7978339350180506,0.7936507936507937
2,LASSO,30,LightGBM,0.7433026212710496,0.7880894276640742,0.7942238267148014,0.7867172510029654
2,LASSO,30,Stacking Ensemble,0.7493000986062966,0.7811313899856557,0.7906137184115524,0.7806122448979591
2,LASSO,30,Soft Voting Ensemble,0.6816323273371241,0.8101150334184829,0.8231046931407943,0.8169370312227455
2,LASSO,50,Random Forest,0.7787875899460727,0.7938693912873791,0.8050541516245487,0.8126199197627769
2,LASSO,50,SVM (RBF),0.4365243183237356,0.6572707262183526,0.6570397111913358,0.6429879644165359
2,LASSO,50,Logistic Regression,0.4452051993314129,0.5341667412556813,0.5306859205776173,0.44854351997209135
2,LASSO,50,XGBoost,0.7649339353566678,0.8017165354614949,0.8086642599277978,0.793040293040293
2,LASSO,50,LightGBM,0.7502626344457838,0.7751560038210082,0.7833935018050542,0.7938688295831152
2,LASSO,50,Stacking Ensemble,0.7377983403184468,0.77096599031931,0.7833935018050542,0.7776469562183848
2,LASSO,50,Soft Voting Ensemble,0.701280108198877,0.8014439344601372,0.8158844765342961,0.807605093319379
2,LASSO,70,Random Forest,0.7913340854029889,0.8006843123880507,0.8122743682310469,0.8246118960404675
2,LASSO,70,SVM (RBF),0.4575709025010483,0.670759130265813,0.6714801444043321,0.6452773417059131
2,LASSO,70,Logistic Regression,0.4436808368256681,0.533911832110802,0.5306859205776173,0.4618001046572475
2,LASSO,70,XGBoost,0.7843162178420754,0.8003576731997271,0.8086642599277978,0.8107012035583464
2,LASSO,70,LightGBM,0.7836952161622643,0.771021887133298,0.779783393501805,0.7939560439560439
2,LASSO,70,Soft Voting Ensemble,0.7689378240182647,0.7946142198199917,0.8086642599277978,0.8117477760334902
2,LASSO,90,Random Forest,0.8078615282895567,0.7955351363706648,0.8086642599277978,0.8153017617303332
2,LASSO,90,SVM (RBF),0.5375929369727482,0.6505339210143432,0.6534296028880866,0.6571384964242106
2,LASSO,90,Logistic Regression,0.4709225724347766,0.5069397561937043,0.5054151624548736,0.46633525204953774
2,LASSO,90,XGBoost,0.7886891098282673,0.7896230429693443,0.8014440433212996,0.8196406767835339
2,LASSO,90,LightGBM,0.7934940365356551,0.7735841965368851,0.7833935018050542,0.8072562358276644
2,LASSO,90,Stacking Ensemble,0.7939919965617535,0.7580100230462367,0.7725631768953068,0.7946973661259376
2,LASSO,90,Soft Voting Ensemble,0.7622052541925723,0.787819481139369,0.8014440433212996,0.8084772370486656
